"Geographic identifier code",FIPS,"Geographic area name","2012 NAICS code","Meaning of 2012 NAICS code",Year,"Number of establishments","Paid employees for pay period including March 12 (number)","First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US17039,17039,"De Witt County, Illinois",0,"Total for all sectors",2013,397,4445,55008,"$217,874 "
0500000US17041,17041,"Douglas County, Illinois",0,"Total for all sectors",2013,586,6396,52908,"$230,857 "
0500000US17043,17043,"DuPage County, Illinois",0,"Total for all sectors",2013,33329,583086,8116611,"$32,134,539 "
0500000US17045,17045,"Edgar County, Illinois",0,"Total for all sectors",2013,347,5966,46624,"$212,082 "
0500000US17047,17047,"Edwards County, Illinois",0,"Total for all sectors",2013,145,1983,18534,"$71,686 "
0500000US17049,17049,"Effingham County, Illinois",0,"Total for all sectors",2013,1185,21580,168401,"$743,075 "
0500000US17051,17051,"Fayette County, Illinois",0,"Total for all sectors",2013,479,4800,31808,"$134,585 "
0500000US17053,17053,"Ford County, Illinois",0,"Total for all sectors",2013,374,3971,32087,"$136,942 "
0500000US17055,17055,"Franklin County, Illinois",0,"Total for all sectors",2013,763,6837,47799,"$203,705 "
0500000US17057,17057,"Fulton County, Illinois",0,"Total for all sectors",2013,662,6412,43711,"$181,385 "
0500000US17059,17059,"Gallatin County, Illinois",0,"Total for all sectors",2013,102,911,9941,"$41,861 "
0500000US17061,17061,"Greene County, Illinois",0,"Total for all sectors",2013,254,1740,12714,"$50,921 "
0500000US17063,17063,"Grundy County, Illinois",0,"Total for all sectors",2013,1075,14102,192119,"$767,227 "
0500000US17065,17065,"Hamilton County, Illinois",0,"Total for all sectors",2013,194,1370,10091,"$50,388 "
0500000US17067,17067,"Hancock County, Illinois",0,"Total for all sectors",2013,378,2737,20185,"$91,530 "
0500000US17069,17069,"Hardin County, Illinois",0,"Total for all sectors",2013,65,785,5705,"$22,891 "
0500000US17071,17071,"Henderson County, Illinois",0,"Total for all sectors",2013,119,680,3887,"$16,826 "
0500000US17073,17073,"Henry County, Illinois",0,"Total for all sectors",2013,1077,13024,106107,"$445,344 "
