"Geographic identifier code",FIPS,"Geographic area name","2012 NAICS code","Meaning of 2012 NAICS code",Year,"Number of establishments","Paid employees for pay period including March 12 (number)","First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US18041,18041,"Fayette County, Indiana",0,"Total for all sectors",2013,435,5696,45579,"$189,742 "
0500000US18043,18043,"Floyd County, Indiana",0,"Total for all sectors",2013,1777,26086,218648,"$924,857 "
0500000US18045,18045,"Fountain County, Indiana",0,"Total for all sectors",2013,322,4348,32181,"$130,563 "
0500000US18047,18047,"Franklin County, Indiana",0,"Total for all sectors",2013,409,5187,39418,"$166,079 "
0500000US18049,18049,"Fulton County, Indiana",0,"Total for all sectors",2013,473,5391,42105,"$179,772 "
0500000US18051,18051,"Gibson County, Indiana",0,"Total for all sectors",2013,705,17450,207105,"$765,141 "
0500000US18053,18053,"Grant County, Indiana",0,"Total for all sectors",2013,1327,29170,234540,"$927,484 "
0500000US18055,18055,"Greene County, Indiana",0,"Total for all sectors",2013,579,4991,32389,"$138,333 "
0500000US18057,18057,"Hamilton County, Indiana",0,"Total for all sectors",2013,8081,114197,1408008,"$5,619,909 "
0500000US18059,18059,"Hancock County, Indiana",0,"Total for all sectors",2013,1333,19756,186147,"$727,331 "
0500000US18061,18061,"Harrison County, Indiana",0,"Total for all sectors",2013,651,8805,62972,"$258,301 "
0500000US18063,18063,"Hendricks County, Indiana",0,"Total for all sectors",2013,2954,51362,423803,"$1,736,599 "
0500000US18065,18065,"Henry County, Indiana",0,"Total for all sectors",2013,831,10567,78128,"$329,836 "
0500000US18067,18067,"Howard County, Indiana",0,"Total for all sectors",2013,1753,30882,302077,"$1,346,002 "
0500000US18069,18069,"Huntington County, Indiana",0,"Total for all sectors",2013,872,12923,96233,"$393,848 "
0500000US18071,18071,"Jackson County, Indiana",0,"Total for all sectors",2013,1000,17926,167532,"$668,190 "
0500000US18073,18073,"Jasper County, Indiana",0,"Total for all sectors",2013,744,8589,70776,"$295,068 "
0500000US18075,18075,"Jay County, Indiana",0,"Total for all sectors",2013,401,6162,47886,"$197,272 "
0500000US18077,18077,"Jefferson County, Indiana",0,"Total for all sectors",2013,678,11028,101875,"$392,897 "
0500000US18079,18079,"Jennings County, Indiana",0,"Total for all sectors",2013,404,6280,48317,"$212,911 "
0500000US18081,18081,"Johnson County, Indiana",0,"Total for all sectors",2013,3046,43122,347722,"$1,444,050 "
0500000US18083,18083,"Knox County, Indiana",0,"Total for all sectors",2013,917,13149,109882,"$441,939 "
0500000US18085,18085,"Kosciusko County, Indiana",0,"Total for all sectors",2013,1914,34469,452003,"$1,725,613 "
0500000US18087,18087,"LaGrange County, Indiana",0,"Total for all sectors",2013,802,11359,101911,"$432,583 "
0500000US18089,18089,"Lake County, Indiana",0,"Total for all sectors",2013,9843,167680,1768593,"$7,140,913 "
0500000US18091,18091,"LaPorte County, Indiana",0,"Total for all sectors",2013,2299,35042,300328,"$1,223,958 "
0500000US18093,18093,"Lawrence County, Indiana",0,"Total for all sectors",2013,838,11748,90475,"$384,906 "
0500000US18095,18095,"Madison County, Indiana",0,"Total for all sectors",2013,2233,35209,271072,"$1,109,464 "
0500000US18097,18097,"Marion County, Indiana",0,"Total for all sectors",2013,22741,508703,6598903,"$25,210,547 "
0500000US18099,18099,"Marshall County, Indiana",0,"Total for all sectors",2013,1038,16068,131274,"$559,907 "
0500000US18101,18101,"Martin County, Indiana",0,"Total for all sectors",2013,182,2206,19610,"$82,058 "
0500000US18103,18103,"Miami County, Indiana",0,"Total for all sectors",2013,561,6767,50039,"$207,873 "
0500000US18105,18105,"Monroe County, Indiana",0,"Total for all sectors",2013,2901,49288,419023,"$1,733,017 "
0500000US18107,18107,"Montgomery County, Indiana",0,"Total for all sectors",2013,857,12985,124616,"$497,017 "
0500000US18109,18109,"Morgan County, Indiana",0,"Total for all sectors",2013,1163,12330,93038,"$393,693 "
0500000US18111,18111,"Newton County, Indiana",0,"Total for all sectors",2013,257,2497,18351,"$76,576 "
0500000US18113,18113,"Noble County, Indiana",0,"Total for all sectors",2013,867,15213,125732,"$521,993 "
0500000US18115,18115,"Ohio County, Indiana",0,"Total for all sectors",2013,89,1194,7451,"$29,333 "
0500000US18117,18117,"Orange County, Indiana",0,"Total for all sectors",2013,390,7570,50452,"$221,439 "
0500000US18119,18119,"Owen County, Indiana",0,"Total for all sectors",2013,290,2904,21200,"$84,574 "
0500000US18121,18121,"Parke County, Indiana",0,"Total for all sectors",2013,255,2053,13960,"$60,986 "
0500000US18123,18123,"Perry County, Indiana",0,"Total for all sectors",2013,367,4954,41263,"$178,009 "
0500000US18125,18125,"Pike County, Indiana",0,"Total for all sectors",2013,196,2411,30439,"$116,401 "
0500000US18127,18127,"Porter County, Indiana",0,"Total for all sectors",2013,3448,51077,533716,"$2,170,211 "
0500000US18129,18129,"Posey County, Indiana",0,"Total for all sectors",2013,488,8892,120373,"$483,379 "
0500000US18131,18131,"Pulaski County, Indiana",0,"Total for all sectors",2013,323,3519,30539,"$125,942 "
0500000US18133,18133,"Putnam County, Indiana",0,"Total for all sectors",2013,683,10907,79157,"$318,359 "
0500000US18135,18135,"Randolph County, Indiana",0,"Total for all sectors",2013,491,6033,48470,"$205,729 "
0500000US18137,18137,"Ripley County, Indiana",0,"Total for all sectors",2013,642,10321,102277,"$431,863 "
0500000US18139,18139,"Rush County, Indiana",0,"Total for all sectors",2013,357,3635,29930,"$127,749 "
0500000US18141,18141,"St. Joseph County, Indiana",0,"Total for all sectors",2013,5782,112678,1028949,"$4,226,910 "
0500000US18143,18143,"Scott County, Indiana",0,"Total for all sectors",2013,399,5761,42641,"$174,502 "
0500000US18145,18145,"Shelby County, Indiana",0,"Total for all sectors",2013,907,14624,136381,"$567,886 "
0500000US18147,18147,"Spencer County, Indiana",0,"Total for all sectors",2013,395,5190,47363,"$191,844 "
